PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V5,30137-64,20,189.0
EQ3 EXW US V5,30137-64,30,204.0
EQ3 EXW US V5,30137-64,31,204.0
EQ3 EXW US V5,30137-64,40,224.0
EQ3 EXW US V5,30137-64,50,244.0
EQ3 EXW US V5,30137-64,60,264.0
EQ3 EXW US V5,30137-64,70,284.0
EQ3 EXW US V5,30137-64,F,444.1175
EQ3 EXW US V5,30137-64,I,504.1175
EQ3 EXW US V5,30137-64,41,224.0
EQ3 EXW US V5,30137-64,42,244.0
EQ3 EXW US V5,30137-71,10,376.0
EQ3 EXW US V5,30137-71,20,396.0
EQ3 EXW US V5,30137-71,30,411.0
EQ3 EXW US V5,30137-71,31,411.0
EQ3 EXW US V5,30137-71,40,431.0
EQ3 EXW US V5,30137-71,50,451.0
EQ3 EXW US V5,30137-71,60,471.0
EQ3 EXW US V5,30137-71,70,491.0
EQ3 EXW US V5,30137-71,F,716.0275
EQ3 EXW US V5,30137-71,I,866.0275
EQ3 EXW US V5,30137-71,41,nan
EQ3 EXW US V5,30137-71,42,nan
EQ3 EXW US V5,30137-74,10,207.0
EQ3 EXW US V5,30137-74,20,226.0
EQ3 EXW US V5,30137-74,30,241.0
EQ3 EXW US V5,30137-74,31,241.0
EQ3 EXW US V5,30137-74,40,261.0
EQ3 EXW US V5,30137-74,50,281.0
EQ3 EXW US V5,30137-74,60,301.0
EQ3 EXW US V5,30137-74,70,321.0
EQ3 EXW US V5,30137-74,F,481.2825
EQ3 EXW US V5,30137-74,I,541.2825
EQ3 EXW US V5,30137-74,41,261.0
EQ3 EXW US V5,30137-74,42,281.0
EQ3 EXW US V5,30192-01,10,1050.0
EQ3 EXW US V5,30192-01,20,1090.0
EQ3 EXW US V5,30192-01,30,1120.0
EQ3 EXW US V5,30192-01,31,1120.0
EQ3 EXW US V5,30192-01,40,1150.0
EQ3 EXW US V5,30192-01,50,1200.0
EQ3 EXW US V5,30192-01,60,1250.0
EQ3 EXW US V5,30192-01,70,1300.0
EQ3 EXW US V5,30192-01,F,1900.46
EQ3 EXW US V5,30192-01,I,2050.46
EQ3 EXW US V5,30192-01,41,nan
EQ3 EXW US V5,30192-01,42,nan
EQ3 EXW US V5,30192-03,10,959.0
EQ3 EXW US V5,30192-03,20,999.0
EQ3 EXW US V5,30192-03,30,1029.0
EQ3 EXW US V5,30192-03,31,1029.0
EQ3 EXW US V5,30192-03,40,1059.0
EQ3 EXW US V5,30192-03,50,1109.0
EQ3 EXW US V5,30192-03,60,1159.0
EQ3 EXW US V5,30192-03,70,1209.0
EQ3 EXW US V5,30192-03,F,1808.895
EQ3 EXW US V5,30192-03,I,1958.895
EQ3 EXW US V5,30192-03,41,nan
EQ3 EXW US V5,30192-03,42,nan
EQ3 EXW US V5,30192-06,10,736.0
EQ3 EXW US V5,30192-06,20,756.0
EQ3 EXW US V5,30192-06,30,771.0
EQ3 EXW US V5,30192-06,31,771.0
EQ3 EXW US V5,30192-06,40,791.0
EQ3 EXW US V5,30192-06,50,811.0
EQ3 EXW US V5,30192-06,60,831.0
